,KWCDC_Curncy,GVSK3M_Index,GVSK3YR_Index,GVSK10YR_Index,USDKRW_Curncy,KWSWNI1_Curncy,MOVE_Index,KOSPI_Index,KOSPI_Index_VOLUME,KOSPFIN_Index,USDKRWV1M_BGN_Curncy,CKREA1U5_CBGN_Curncy,VKOSPI_Index
2024-01-18,3.65,3.346,3.285,3.38,1343.2,3.54,107.22000122070312,2440.0400390625,570000.0,,,-75.99999999999997,
2024-01-19,3.65,3.36,3.307,3.422,1342.4,3.544,104.97000122070312,2472.739990234375,518800.0,6270.0,,-72.80000000000003,
2024-01-22,3.65,3.322,3.278,3.372,1336.5,3.523,106.87000274658203,2464.35009765625,386600.0,6270.0,,-73.80000000000004,
2024-01-23,3.66,3.337,3.286,3.372,1334.7,3.53,107.69999694824219,2478.610107421875,472300.0,6465.0,,-76.79999999999998,
2024-01-24,3.66,3.353,3.3,3.4,1336.0,3.543,105.77999877929688,2469.68994140625,395500.0,6535.0,,-77.99999999999999,
2024-01-25,3.66,3.365,3.313,3.419,1339.1,3.555,105.88999938964844,2470.340087890625,357200.0,6540.0,,-72.09999999999997,
2024-01-26,3.66,3.31,3.263,3.386,1335.7,3.534,100.2300033569336,2478.56005859375,292700.0,6630.0,,-76.40000000000002,
2024-01-29,3.66,3.342,3.304,3.436,1336.6,3.571,106.33999633789062,2500.64990234375,421800.0,6715.0,,-64.4,
2024-01-30,3.66,3.312,3.268,3.35,1336.9,3.554,104.26000213623047,2498.81005859375,481800.0,6740.0,6.585801514729865,-70.99999999999996,14.526055728574052
2024-01-31,3.66,3.319,3.261,3.345,1330.6,3.559,107.27999877929688,2497.090087890625,437600.0,6885.0,6.592299436652777,-64.5,12.43516812928646
2024-02-01,3.67,3.32,3.267,3.339,1333.5,3.565,113.91999816894531,2542.4599609375,751100.0,7240.0,6.201265198920066,-53.100000000000016,14.162198507642213
2024-02-02,3.67,3.309,3.248,3.287,1332.5,3.559,106.72000122070312,2615.31005859375,588700.0,7610.0,6.229885133627379,-74.30000000000004,17.553141372234887
2024-02-05,3.67,3.383,3.312,3.374,1325.1,3.607,108.68000030517578,2591.31005859375,511700.0,7420.0,6.585183626425457,-79.59999999999998,17.834536061922204
2024-02-06,3.67,3.373,3.292,3.382,1334.6,3.593,110.5999984741211,2576.199951171875,411600.0,7310.0,7.005950746228063,-70.79999999999997,17.94673292728761
2024-02-07,3.67,3.374,3.286,3.378,1329.6,3.591,107.86000061035156,2609.580078125,518200.0,7470.0,7.120849532388028,-71.19999999999997,18.225288727468644
2024-02-08,3.67,3.394,3.305,3.4,1325.3,3.599,108.5999984741211,2620.320068359375,430000.0,7690.0,6.94619635007607,-75.00000000000004,18.233167955841434
2024-02-09,,,,,,,106.20999908447266,,,,,-77.0,
2024-02-12,,,,,,,109.77999877929688,,,,,-77.0,
2024-02-13,3.67,3.43,3.353,3.453,1327.2,3.618,113.22000122070312,2649.639892578125,559400.0,7675.0,6.845331333107669,-85.69999999999997,18.302329462196084
2024-02-14,3.67,3.493,3.425,3.502,1328.4,3.651,111.97000122070312,2620.419921875,543500.0,7525.0,6.810617625662524,-76.79999999999998,18.913132153447414
2024-02-15,3.68,3.46,3.405,3.477,1336.9,3.626,112.08999633789062,2613.800048828125,621400.0,7445.0,7.024405734655698,-76.30000000000004,18.354318262815074
2024-02-16,3.68,3.465,3.405,3.482,1333.2,3.627,109.19999694824219,2648.760009765625,593800.0,7690.0,6.6568399545477535,-81.79999999999995,15.698574830925338
2024-02-19,3.69,3.453,3.397,3.467,1333.0,3.625,,2680.260009765625,422700.0,7885.0,5.3734299210138845,-83.29999999999997,15.895196138318147
2024-02-20,3.7,3.471,3.405,3.489,1333.8,3.636,111.0199966430664,2657.7900390625,612700.0,7685.0,5.383691530886357,-78.09999999999997,16.201214001358437
2024-02-21,3.7,3.474,3.402,3.474,1337.9,3.633,114.2699966430664,2653.31005859375,562100.0,7665.0,5.284991671804438,-84.60000000000001,16.113675815112227
2024-02-22,3.7,3.419,3.342,3.424,1335.0,3.602,115.58999633789062,2664.27001953125,456400.0,7660.0,5.3218220356356545,-90.60000000000001,16.096621957871378
2024-02-23,3.7,3.45,3.374,3.468,1331.0,3.635,108.30999755859375,2667.699951171875,415400.0,7845.0,5.412909533353822,-79.19999999999999,15.89630437145143
2024-02-26,3.71,3.428,3.34,3.402,1329.3,3.619,110.7699966430664,2647.080078125,530500.0,7585.0,5.342508694110921,-87.80000000000001,16.38522051845845
2024-02-27,3.72,3.448,3.364,3.43,1331.4,3.634,110.80000305175781,2625.050048828125,574300.0,7620.0,5.319886750467289,-87.99999999999994,16.915793426588454
